"date","daily_steps"
2012-10-01,10766.1886792453
2012-10-02,126
2012-10-03,11352
2012-10-04,12116
2012-10-05,13294
2012-10-06,15420
2012-10-07,11015
2012-10-08,10766.1886792453
2012-10-09,12811
2012-10-10,9900
2012-10-11,10304
2012-10-12,17382
2012-10-13,12426
2012-10-14,15098
2012-10-15,10139
2012-10-16,15084
2012-10-17,13452
2012-10-18,10056
2012-10-19,11829
2012-10-20,10395
2012-10-21,8821
2012-10-22,13460
2012-10-23,8918
2012-10-24,8355
2012-10-25,2492
2012-10-26,6778
2012-10-27,10119
2012-10-28,11458
2012-10-29,5018
2012-10-30,9819
2012-10-31,15414
2012-11-01,10766.1886792453
2012-11-02,10600
2012-11-03,10571
2012-11-04,10766.1886792453
2012-11-05,10439
2012-11-06,8334
2012-11-07,12883
2012-11-08,3219
2012-11-09,10766.1886792453
2012-11-10,10766.1886792453
2012-11-11,12608
2012-11-12,10765
2012-11-13,7336
2012-11-14,10766.1886792453
2012-11-15,41
2012-11-16,5441
2012-11-17,14339
2012-11-18,15110
2012-11-19,8841
2012-11-20,4472
2012-11-21,12787
2012-11-22,20427
2012-11-23,21194
2012-11-24,14478
2012-11-25,11834
2012-11-26,11162
2012-11-27,13646
2012-11-28,10183
2012-11-29,7047
2012-11-30,10766.1886792453
